Year,Company,Country,ICB3 long,R&D (€million),R&D one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Net sales (€million),Net sales one-year growth (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,SIEMENS AG,Germany,Electronic & Electrical Equipment,6482.0,-0.0308451573103023,8.22474020124094,2088.0,-5.86113615870153,2.64937635609242,310.44061302682,78811.0,1.33986549910633,9608.0,3.94893432868116,12.191191584931,145600.0,34.5158875793801,327000.0,2.1875
2024,SAP SE,Germany,Software & Computer Services,5317.0,-15.3613498885705,15.5577013108614,797.0,1.52866242038217,2.33204588014981,667.126725219573,34176.0,9.5138911141731,7809.0,29.847023611573,22.8493679775281,290172.695849303,69.1976981527466,109121.0,1.41168379769893
2024,TELEFONAKTIEBOLAGET LM ERICSSON AB,Sweden,Technology Hardware & Equipment,4469.41268871629,3.94974527593419,20.6612070356624,204.206300724321,-29.0263876251139,0.944005163788929,2188.67521367522,21631.9050527969,-5.87466916776494,389.737324373855,-122.265430252268,1.8016782314023,24209.3758204602,42.6079477089379,94236.0,-5.71874499759885
2024,NOKIA OYJ,Finland,Technology Hardware & Equipment,4377.0,2.60196905766526,21.5839045317816,472.0,-27.6073619631902,2.3275309433404,927.330508474576,20279.0,-8.89118519184114,1228.0,-9.30576070901034,6.05552542038562,23962.206700933,37.9408278137362,80361.0,-7.29965739597873
2024,ASML HOLDING N.V.,Netherlands,Technology Hardware & Equipment,3942.4,5.83908292840076,13.949028585177,2067.2,-4.10094637223975,7.31418219644835,190.712074303406,28262.9,2.55601719977503,9022.6,-0.217864923747265,31.9238294725594,271198.136016843,-1.31770565957222,44027.0,3.7980950584685
2024,SCHNEIDER ELECTRIC SE,France,Electronic & Electrical Equipment,2260.0,12.1031746031746,5.92351846512725,950.0,3.93873085339168,2.48997457604907,237.894736842105,38153.0,6.26984569104785,6590.0,15.9190853122252,17.2725604801719,138669.667235023,33.1696203623975,167495.0,9.38734726131621
2024,NXP SEMICONDUCTORS N.V,Netherlands,Technology Hardware & Equipment,2259.12022331312,-2.93631100082714,18.6063104487079,699.778611993455,-12.0918984280532,5.7634374504519,322.83356258597,12141.688324189,-4.98644169930757,3341.99634228511,-5.54951033732306,27.5249722530523,50848.264701724,-10.2103493862852,33100.0,-2.23587441297221
2024,INFINEON TECHNOLOGIES AG,Germany,Technology Hardware & Equipment,2222.0,1.46118721461187,14.8579070544968,2432.0,-11.2084702446148,16.2621196924106,91.3651315789474,14955.0,-8.3021644490772,2422.0,-35.7048048845235,16.1952524239385,41045.101734446,-0.047700396861969,58065.0,-0.896057347670251
2024,STMICROELECTRONICS N.V.,Italy,Technology Hardware & Equipment,1761.4784868611,-4.18848167539289,13.8458046455323,2972.37462700934,-30.4347826086956,23.3638495876524,59.2616580310879,12722.109923958,-23.3308196531125,1398.59466743671,-66.9697658558764,10.9934175682833,22121.368260374,-49.1998668120981,49602.0,-3.35327241197903
2024,SPOTIFY TECHNOLOGY S.A.,Sweden,Software & Computer Services,1447.0,-3.27540106951872,9.23243795061571,17.0,183.333333333333,0.108466790021055,8511.76470588235,15673.0,18.3135804333057,1365.0,-406.053811659193,8.70924519874944,85718.402083801,155.684511324317,7691.0,-15.6965910336512
