country,material,production_2019_kg,production_2020_kg,production_2021_kg,production_2022_kg,production_2023_kg
China,Germanium,85700.0,95000.0,,,
Russia,Germanium,5000.0,5000.0,,,
Other,Germanium,40000.0,40000.0,,,
