country,material,production_2019_metric_tons,production_2020_metric_tons,production_2021_metric_tons,production_2022_metric_tons,production_2023_metric_tons
Belgium,Arsenic trioxide,1000.0,1000.0,1000.0,1000.0,1000.0
Bolivia,Arsenic trioxide,126.0,50.0,100.0,35.0,
China,Arsenic trioxide,24000.0,24000.0,24000.0,24000.0,24000.0
Japan,Arsenic trioxide,45.0,40.0,40.0,40.0,40.0
Morocco,Arsenic trioxide,5055.0,7694.0,6883.0,5450.0,6000.0
Peru,Arsenic trioxide,35000.0,27000.0,30000.0,30000.0,30000.0
Russia,Arsenic trioxide,2226.0,500.0,800.0,500.0,500.0
