provider_name,country,provided_name,share_provided,year
Canon,JPN,i-line lithography tools,47.7,2024
Canon,JPN,i-line lithography tools,47.7,2024
Canon,JPN,Die attaching tools for IC,1.6,2024
Canon,JPN,Die attaching tools for IC,1.6,2024
Canon,JPN,Die attaching tools for IC,1.6,2024
Canon,JPN,Die attaching tools for non-IC,5.1,2024
Canon,JPN,Die attaching tools for non-IC,5.1,2024
Canon,JPN,Die attaching tools for non-IC,5.1,2024
Canon,JPN,Other deposition tools (non-IC),2.8,2024
Canon,JPN,Other deposition tools (non-IC),2.8,2024
Canon,JPN,Other deposition tools (non-IC),2.8,2024
Canon,JPN,Lithography tools,3.5,2024
Canon,JPN,Lithography tools,3.5,2024
Canon,JPN,Lithography tools,3.5,2024
Canon,JPN,Bonding tools,1.4,2024
Canon,JPN,Bonding tools,1.4,2024
Canon,JPN,Bonding tools,1.4,2024
Canon,JPN,Die attaching tools,2.3,2024
Canon,JPN,Die attaching tools,2.3,2024
Canon,JPN,Die attaching tools,2.3,2024
Chroma ATE,TWN,Test tools,1.7,2024
Chroma ATE,TWN,SoC test tools,2.3,2024
Chroma ATE,TWN,Burn-in test tools,6.1,2024
Chroma ATE,TWN,Handlers and probers,2.4,2024
Cohu,USA,Test tools,1.0,2024
Cohu,USA,Assembly inspection tools,8.8,2024
Cohu,USA,SoC test tools,1.5,2024
Cohu,USA,Handlers and probers,6.4,2024
DI,KOR,Test tools,1.2,2024
DI,KOR,Burn-in test tools,32.8,2024
DIAS Automation,CHN,Automatic wedge bonders,1.0,2024
Daifuku,JPN,Wafer handlers,53.1,2024
Daifuku,JPN,Photomask handlers,5.9,2024
Daifuku,JPN,Wafer and photomask handlers,51.1,2024
Disco,JPN,Dicing tools,86.4,2024
Disco,JPN,Crystal machining tools,68.0,2024
E&R Engineering,TWN,Other interconnect tools,1.1,2024
EBARA,JPN,Fabrication tools (for advanced packaging),1.3,2024
EBARA,JPN,ECP tools (adv. pkg.),2.9,2024
EBARA,JPN,CMP tools (adv. pkg.),11.5,2024
EBARA,JPN,Deposition tools (adv. pkg.),1.2,2024
