provider_name,provided_name,share_provided,year
CHN,Dry etch tools,10.7,2024
CHN,i-line lithography tools,4.3,2024
CHN,Fabrication tools (for advanced packaging),7.3,2024
CHN,CVD tools (adv. pkg.),20.3,2024
CHN,PVD tools (adv. pkg.),8.8,2024
CHN,E-beam metrology tools,0.9,2024
CHN,Test tools,6.3,2024
CHN,Resist processing tools (adv. pkg.),2.0,2024
CHN,CMP tools (adv. pkg.),6.7,2024
CHN,Lithography tools (adv. pkg.),1.6,2024
CHN,Deposition tools (adv. pkg.),6.9,2024
CHN,Etch and clean tools (adv. pkg.),17.9,2024
CHN,Die attaching tools for IC,0.6,2024
CHN,Die attaching tools for non-IC,18.0,2024
CHN,Auto ball bonders for IC,0.4,2024
CHN,Automatic wedge bonders,1.0,2024
CHN,Other deposition tools (non-IC),25.2,2024
CHN,Ion implanters,0.3,2024
CHN,Lithography tools,0.2,2024
CHN,Resist processing tools,0.6,2024
CHN,Deposition tools,7.4,2024
CHN,Plasma CVD tools,8.2,2024
CHN,Low-pressure CVD tools,4.0,2024
CHN,High-temperature CVD tools,3.4,2024
CHN,Atomic layer deposition tools,0.5,2024
CHN,Physical vapor deposition tools,10.4,2024
CHN,Rapid thermal processing tools,3.8,2024
CHN,Tube-based diffusion and deposition tools,10.4,2024
CHN,Chemical vapor deposition tools,6.7,2024
CHN,Dry etching and cleaning tools,10.9,2024
CHN,Wet etching and cleaning tools,3.8,2024
CHN,Conductor etching tools,8.0,2024
CHN,Insulator etching tools,10.5,2024
CHN,Dry stripping tools,35.4,2024
CHN,Misc. dry etch tools,55.5,2024
CHN,Etch and clean tools,8.5,2024
CHN,Process control tools,0.8,2024
CHN,"Film, stack, and shape metrology tools",2.3,2024
CHN,Critical dimensions metrology tools,0.6,2024
CHN,Defect inspection tools,0.8,2024
CHN,Assembly inspection tools,0.7,2024
CHN,Dicing tools,0.4,2024
CHN,Bonding tools,4.0,2024
CHN,Die attaching tools,4.1,2024
CHN,Wire bonding tools,0.3,2024
CHN,Other interconnect tools,14.8,2024
CHN,Packaging tools,2.8,2024
CHN,SoC test tools,5.1,2024
CHN,Burn-in test tools,9.1,2024
CHN,Linear and discrete testing tools,68.7,2024
CHN,Handlers and probers,7.9,2024
CHN,CMP tools,9.5,2024
Canon,KrF (DUV) lithography tools,17.4,2024
Canon,i-line lithography tools,47.7,2024
Canon,Die attaching tools for IC,1.6,2024
Canon,Die attaching tools for non-IC,5.1,2024
Canon,Other deposition tools (non-IC),2.8,2024
Canon,Lithography tools,3.5,2024
Canon,Bonding tools,1.4,2024
Canon,Die attaching tools,2.3,2024
Chroma ATE,Test tools,1.7,2024
Chroma ATE,SoC test tools,2.3,2024
Chroma ATE,Burn-in test tools,6.1,2024
Chroma ATE,Handlers and probers,2.4,2024
Cohu,Test tools,1.0,2024
Cohu,Assembly inspection tools,8.8,2024
Cohu,SoC test tools,1.5,2024
Cohu,Handlers and probers,6.4,2024
DEU,Wafer bonding and aligning tools,3.7,2024
DEU,Direct write systems,32.8,2024
DEU,Fabrication tools (for advanced packaging),0.9,2024
DEU,PVD tools (adv. pkg.),0.3,2024
DEU,Resist processing tools (adv. pkg.),13.1,2024
DEU,Mask aligners,87.1,2024
DEU,Lithography tools (adv. pkg.),10.8,2024
DEU,Deposition tools (adv. pkg.),0.1,2024
DEU,Die attaching tools for IC,0.3,2024
DEU,Manual wire bonders,92.5,2024
DEU,Auto ball bonders for IC,0.5,2024
DEU,Automatic wedge bonders,16.4,2024
DEU,Other deposition tools (non-IC),21.4,2024
DEU,Lithography tools,1.0,2024
DEU,Mask exposure systems - laser beam,1.3,2024
DEU,Resist processing tools,2.9,2024
DEU,Deposition tools,1.3,2024
DEU,Wet etching and cleaning tools,0.1,2024
DEU,Etch and clean tools,0.0,2024
DEU,Process control tools,0.7,2024
