provider_name,provided_name,share_provided,year
Onto Innovation,Process control tools,3.0,2024
Onto Innovation,Inspection tools (adv. pkg.),40.2,2024
Onto Innovation,"Film, stack, and shape metrology tools",13.6,2024
Onto Innovation,Defect inspection tools,1.4,2024
Oxford Instruments,CVD tools (adv. pkg.),1.2,2024
Oxford Instruments,Misc. dry etch tools,3.7,2024
PROTEC,Die attaching tools for non-IC,1.6,2024
PROTEC,Other interconnect tools,2.4,2024
PSK,Dry clean tools,39.8,2024
PSK,Dry stripping tools,7.9,2024
PacTech,Wafer level stud bonders,1.2,2024
Palomar Technologies,Auto ball bonders for non-IC,2.7,2024
Pentamaster,Handlers and probers,2.2,2024
Piotech,CVD tools (adv. pkg.),1.2,2024
Piotech,Deposition tools,1.8,2024
Piotech,Plasma CVD tools,6.4,2024
Piotech,Chemical vapor deposition tools,4.2,2024
Plasma-Therm,Other deposition tools (non-IC),2.1,2024
Plasma-Therm,Misc. dry etch tools,12.7,2024
Precision Valve & Automation,Other interconnect tools,4.3,2024
Raintree Scientific Instruments (RSIC),"Film, stack, and shape metrology tools",2.3,2024
Riber,Other deposition tools (non-IC),1.3,2024
Rigaku,Process control tools,1.2,2024
Rigaku,"Film, stack, and shape metrology tools",7.1,2024
Rorze,Wafer handlers,2.4,2024
Rorze,Wafer and photomask handlers,2.3,2024
Royce Instruments,Assembly inspection tools,1.2,2024
SAEJONG IND,Other interconnect tools,1.7,2024
SAMCO,Dry stripping tools,1.1,2024
SAMCO,Misc. dry etch tools,8.3,2024
SEMES,Wafer handlers,13.7,2024
SEMES,Resist processing tools (adv. pkg.),4.9,2024
SEMES,Lithography tools (adv. pkg.),4.1,2024
SEMES,Die attaching tools for IC,21.2,2024
SEMES,Resist processing tools,1.3,2024
SEMES,Wet etching and cleaning tools,4.5,2024
SEMES,Etch and clean tools,1.8,2024
SEMES,Wafer and photomask handlers,13.1,2024
SEMES,Bonding tools,10.2,2024
SEMES,Die attaching tools,17.0,2024
SEMES,Handlers and probers,7.8,2024
SGP,Fabrication tools (for advanced packaging),2.2,2024
SGP,PVD tools (adv. pkg.),3.7,2024
SGP,ECP tools (adv. pkg.),8.2,2024
SGP,Deposition tools (adv. pkg.),5.0,2024
SGP,Die attaching tools for IC,14.3,2024
SGP,Die attaching tools for non-IC,33.9,2024
SGP,Auto ball bonders for IC,93.8,2024
SGP,Auto ball bonders for non-IC,91.9,2024
SGP,Automatic wedge bonders,81.6,2024
SGP,Wafer level stud bonders,63.3,2024
SGP,Assembly inspection tools,21.9,2024
SGP,Dicing tools,1.7,2024
SGP,Bonding tools,38.6,2024
SGP,Die attaching tools,18.1,2024
SGP,Wire bonding tools,88.0,2024
SGP,Other interconnect tools,11.5,2024
SGP,Packaging tools,3.6,2024
SGP,Integrated assembly tools,97.8,2024
SGP,Handlers and probers,2.5,2024
SMEE,i-line lithography tools,4.3,2024
SMIT,Ion implanters,8.2,2024
SPEA,SoC test tools,1.4,2024
SPEA,Handlers and probers,1.6,2024
SSP,Other interconnect tools,3.7,2024
STK Technology,Burn-in test tools,1.4,2024
SUSS MicroTec,Wafer bonding and aligning tools,3.7,2024
SUSS MicroTec,Resist processing tools (adv. pkg.),13.1,2024
SUSS MicroTec,Mask aligners,87.1,2024
SUSS MicroTec,Lithography tools (adv. pkg.),10.8,2024
SUSS MicroTec,Resist processing tools,2.9,2024
SWE,Lithography tools,0.2,2024
SWE,Mask exposure systems - laser beam,37.3,2024
SWE,Bonding tools,0.8,2024
SWE,Other interconnect tools,8.1,2024
Screen,Fabrication tools (for advanced packaging),3.3,2024
Screen,Single wafer spin & spray systems (adv. pkg.),48.7,2024
Screen,Etch and clean tools (adv. pkg.),15.9,2024
Screen,Resist processing tools,2.1,2024
Screen,Rapid thermal processing tools,3.3,2024
Screen,Wet etching and cleaning tools,37.9,2024
Screen,Etch and clean tools,9.9,2024
Semics,Handlers and probers,7.8,2024
Semilab,"Film, stack, and shape metrology tools",2.8,2024
Shenzhen Axxon Automation,Other interconnect tools,8.1,2024
Shenzhen Naso Tech Co.,Other deposition tools (non-IC),2.6,2024
ShibaSoku,Linear and discrete testing tools,1.8,2024
Shibaura Mechatronics,Fabrication tools (for advanced packaging),1.9,2024
Shibaura Mechatronics,Single wafer spin & spray systems (adv. pkg.),28.0,2024
Shibaura Mechatronics,Etch and clean tools (adv. pkg.),9.2,2024
Shibaura Mechatronics,Die attaching tools for IC,3.8,2024
Shibaura Mechatronics,Die attaching tools for non-IC,3.7,2024
Shibaura Mechatronics,Dry stripping tools,7.2,2024
Shibaura Mechatronics,Misc. dry etch tools,13.6,2024
Shibaura Mechatronics,Bonding tools,2.3,2024
Shibaura Mechatronics,Die attaching tools,3.8,2024
Shibuya Kogyo,Other interconnect tools,1.4,2024
Shinkawa,Die attaching tools for IC,5.1,2024
Shinkawa,Auto ball bonders for IC,3.5,2024
Shinkawa,Auto ball bonders for non-IC,5.0,2024
Shinkawa,Wafer level stud bonders,11.9,2024
Shinkawa,Bonding tools,3.5,2024
Shinkawa,Die attaching tools,4.2,2024
Shinkawa,Wire bonding tools,3.1,2024
TESEC,Linear and discrete testing tools,7.8,2024
TOWA,Packaging tools,45.5,2024
TWN,Fabrication tools (for advanced packaging),0.2,2024
TWN,Wafer handlers,0.5,2024
TWN,ECP tools (adv. pkg.),0.4,2024
TWN,Photomask handlers,8.3,2024
TWN,Test tools,1.8,2024
TWN,Single wafer spin & spray systems (adv. pkg.),2.1,2024
TWN,Deposition tools (adv. pkg.),0.2,2024
TWN,Etch and clean tools (adv. pkg.),0.7,2024
TWN,Die attaching tools for IC,0.1,2024
TWN,Die attaching tools for non-IC,0.2,2024
TWN,Ion implanters,0.5,2024
TWN,Deposition tools,0.0,2024
TWN,Electrochemical plating tools,0.2,2024
TWN,Dry etching and cleaning tools,0.0,2024
TWN,Wet etching and cleaning tools,0.5,2024
TWN,Dry stripping tools,1.6,2024
TWN,Etch and clean tools,0.2,2024
TWN,Wafer and photomask handlers,0.8,2024
TWN,Assembly inspection tools,5.9,2024
TWN,Dicing tools,0.4,2024
TWN,Bonding tools,0.2,2024
TWN,Die attaching tools,0.1,2024
TWN,Other interconnect tools,1.6,2024
TWN,Packaging tools,1.4,2024
TWN,SoC test tools,2.4,2024
TWN,Burn-in test tools,6.1,2024
TWN,Handlers and probers,4.9,2024
TechWing,Handlers and probers,2.3,2024
Tensun,Other interconnect tools,6.2,2024
Teradyne,Test tools,27.7,2024
Teradyne,Memory test tools,28.6,2024
Teradyne,SoC test tools,30.4,2024
Thermco Epitaxy,High-temperature CVD tools,1.3,2024
Tokyo Electron,Wafer bonding and aligning tools,39.5,2024
Tokyo Electron,Dry etch tools,26.4,2024
Tokyo Electron,Plasma modification tools,6.0,2024
Tokyo Electron,Fabrication tools (for advanced packaging),6.6,2024
Tokyo Electron,Resist processing tools (adv. pkg.),80.0,2024
Tokyo Electron,Lithography tools (adv. pkg.),66.0,2024
Tokyo Electron,Other deposition tools (non-IC),4.2,2024
Tokyo Electron,Lithography tools,10.6,2024
Tokyo Electron,Resist processing tools,91.8,2024
Tokyo Electron,Deposition tools,10.2,2024
Tokyo Electron,Low-pressure CVD tools,30.5,2024
Tokyo Electron,Atomic layer deposition tools,16.0,2024
Tokyo Electron,Tube-based diffusion and deposition tools,56.2,2024
Tokyo Electron,Chemical vapor deposition tools,5.8,2024
Tokyo Electron,Dry etching and cleaning tools,25.6,2024
Tokyo Electron,Wet etching and cleaning tools,21.5,2024
Tokyo Electron,Conductor etching tools,2.9,2024
Tokyo Electron,Insulator etching tools,61.8,2024
Tokyo Electron,Etch and clean tools,25.4,2024
Tokyo Electron,Handlers and probers,20.8,2024
Tokyo Weld,Handlers and probers,1.2,2024
Toray,Mask aligners,4.6,2024
Trinity Tech,Packaging tools,1.6,2024
Trio-Tech International,Burn-in test tools,1.5,2024
Trion Technology,Misc. dry etch tools,1.0,2024
Trymax,Dry stripping tools,11.3,2024
ULVAC,Fabrication tools (for advanced packaging),1.5,2024
ULVAC,CVD tools (adv. pkg.),1.3,2024
ULVAC,PVD tools (adv. pkg.),7.0,2024
ULVAC,Deposition tools (adv. pkg.),3.3,2024
ULVAC,Other deposition tools (non-IC),3.7,2024
ULVAC,Physical vapor deposition tools,2.1,2024
USA,Wafer bonding and aligning tools,0.9,2024
USA,Dry etching tools (adv. pkg.),73.5,2024
USA,Dry clean tools,59.3,2024
USA,Dry etch tools,58.7,2024
USA,Plasma modification tools,86.9,2024
USA,i-line lithography tools,6.5,2024
USA,Fabrication tools (for advanced packaging),65.4,2024
USA,CVD tools (adv. pkg.),67.4,2024
USA,PVD tools (adv. pkg.),78.3,2024
USA,ECP tools (adv. pkg.),87.9,2024
USA,Overlay metrology tools,54.2,2024
USA,E-beam metrology tools,61.5,2024
USA,Defect review stations,96.2,2024
USA,Test tools,30.2,2024
USA,CMP tools (adv. pkg.),80.8,2024
USA,Single wafer spin & spray systems (adv. pkg.),21.2,2024
USA,Lithography tools (adv. pkg.),17.5,2024
USA,Deposition tools (adv. pkg.),80.5,2024
USA,Etch and clean tools (adv. pkg.),56.4,2024
USA,Direct write systems (adv. pkg.),100.0,2024
USA,Die attaching tools for IC,0.0,2024
USA,Auto ball bonders for IC,0.0,2024
USA,Auto ball bonders for non-IC,2.7,2024
USA,Other deposition tools (non-IC),17.3,2024
USA,Ion implanters,89.9,2024
USA,Lithography tools,0.8,2024
USA,Mask exposure systems - laser beam,61.4,2024
USA,Resist processing tools,1.2,2024
USA,Deposition tools,61.5,2024
USA,Plasma CVD tools,85.9,2024
USA,Low-pressure CVD tools,55.8,2024
USA,High-temperature CVD tools,73.4,2024
USA,Atomic layer deposition tools,15.5,2024
USA,Physical vapor deposition tools,86.1,2024
USA,Rapid thermal processing tools,89.3,2024
USA,Tube-based diffusion and deposition tools,0.4,2024
USA,Electrochemical plating tools,99.8,2024
USA,Chemical vapor deposition tools,78.3,2024
USA,Dry etching and cleaning tools,57.9,2024
USA,Wet etching and cleaning tools,29.2,2024
USA,Conductor etching tools,83.0,2024
USA,Insulator etching tools,26.8,2024
USA,Dry stripping tools,8.1,2024
USA,Misc. dry etch tools,13.7,2024
USA,Etch and clean tools,49.9,2024
USA,Process control tools,72.0,2024
USA,Photomask inspection and repair tools,41.7,2024
USA,Inspection tools (adv. pkg.),80.0,2024
USA,Process monitoring tools,100.0,2024
USA,"Film, stack, and shape metrology tools",65.6,2024
USA,Critical dimensions metrology tools,30.1,2024
USA,Defect inspection tools,91.0,2024
USA,Assembly inspection tools,58.7,2024
USA,Dicing tools,0.7,2024
USA,Bonding tools,1.9,2024
USA,Die attaching tools,0.0,2024
USA,Wire bonding tools,0.5,2024
USA,Other interconnect tools,17.7,2024
USA,Packaging tools,0.1,2024
USA,Integrated assembly tools,2.2,2024
USA,Memory test tools,28.6,2024
USA,SoC test tools,32.3,2024
USA,Burn-in test tools,18.5,2024
USA,Linear and discrete testing tools,15.6,2024
USA,Handlers and probers,12.0,2024
USA,CMP tools,60.3,2024
USA,Crystal machining tools,0.1,2024
UniTest,Memory test tools,1.4,2024
UniTest,Burn-in test tools,6.1,2024
UnitySC,Inspection tools (adv. pkg.),1.3,2024
Ushio,Mask aligners,1.1,2024
Various companies,Deposition tools,5.3,2024
Various companies,Tube-based diffusion and deposition tools,0.8,2024
Various companies,Chemical vapor deposition tools,1.4,2024
Various companies,Handlers and probers,6.3,2024
Various companies,Fabrication tools (for advanced packaging),4.4,2024
Various companies,Deposition tools (adv. pkg.),3.4,2024
Various companies,Die attaching tools for IC,4.2,2024
Various companies,Bonding tools,10.2,2024
Various companies,Die attaching tools,5.0,2024
Various companies,SoC test tools,2.0,2024
Various companies,CMP tools (adv. pkg.),0.9,2024
Various companies,CMP tools,1.5,2024
Various companies,Test tools,5.0,2024
Various companies,Die attaching tools for non-IC,2.2,2024
Various companies,Dicing tools,3.8,2024
Various companies,Other interconnect tools,3.4,2024
Various companies,Packaging tools,9.0,2024
Various companies,ECP tools (adv. pkg.),1.1,2024
Various companies,Wet etching and cleaning tools,3.7,2024
Various companies,Etch and clean tools,4.4,2024
Various companies,Lithography tools,3.4,2024
Various companies,Insulator etching tools,2.7,2024
Various companies,Overlay metrology tools,0.7,2024
Various companies,Process control tools,4.3,2024
Various companies,Resist processing tools,0.8,2024
Various companies,Ion implanters,0.7,2024
Various companies,Plasma CVD tools,1.1,2024
Various companies,Physical vapor deposition tools,1.8,2024
Various companies,Linear and discrete testing tools,3.7,2024
Various companies,Wire bonding tools,3.6,2024
Various companies,E-beam metrology tools,0.9,2024
Various companies,Critical dimensions metrology tools,1.0,2024
Various companies,Plasma modification tools,1.5,2024
Various companies,High-temperature CVD tools,1.3,2024
Various companies,Memory test tools,0.5,2024
Various companies,Burn-in test tools,2.4,2024
Various companies,Auto ball bonders for IC,2.7,2024
Various companies,Automatic wedge bonders,1.8,2024
Various companies,Dry etch tools,2.7,2024
Various companies,Dry etching and cleaning tools,4.5,2024
Various companies,Etch and clean tools (adv. pkg.),0.8,2024
Various companies,Electrochemical plating tools,0.2,2024
Various companies,Assembly inspection tools,4.1,2024
Various companies,Wafer handlers,0.7,2024
Various companies,Wafer and photomask handlers,1.2,2024
Various companies,Photomask inspection and repair tools,1.7,2024
Various companies,Conductor etching tools,2.7,2024
Various companies,Auto ball bonders for non-IC,0.5,2024
Various companies,Wafer bonding and aligning tools,1.2,2024
Various companies,Defect inspection tools,2.1,2024
Various companies,Other deposition tools (non-IC),1.2,2024
Various companies,Atomic layer deposition tools,1.1,2024
Various companies,"Film, stack, and shape metrology tools",1.5,2024
Various companies,Dry etching tools (adv. pkg.),0.1,2024
Various companies,Rapid thermal processing tools,0.6,2024
Various companies,Crystal machining tools,0.4,2024
Various companies,Dry clean tools,0.9,2024
Various companies,PVD tools (adv. pkg.),0.4,2024
Various companies,Low-pressure CVD tools,0.3,2024
Various companies,Inspection tools (adv. pkg.),0.2,2024
Various companies,Imprint lithography,5.2,2024
Various companies,CVD tools (adv. pkg.),0.2,2024
Various companies,Spin-on deposition tools (adv. pkg.),100.0,2024
Various companies,Photomask handlers,4.9,2024
Various companies,Mask aligners,2.9,2024
Various companies,Manual wire bonders,0.8,2024
Various companies,Wafer level stud bonders,23.6,2024
Various companies,Ion milling tools,100.0,2024
Various companies,Dry stripping tools,0.3,2024
Various companies,Misc. dry etch tools,0.1,2024
Various countries,Wafer bonding and aligning tools,0.4,2024
Various countries,Dry etch tools,0.6,2024
Various countries,Imprint lithography,5.2,2024
Various countries,Fabrication tools (for advanced packaging),0.1,2024
Various countries,Wafer handlers,0.2,2024
Various countries,CVD tools (adv. pkg.),0.2,2024
Various countries,PVD tools (adv. pkg.),0.1,2024
Various countries,Spin-on deposition tools (adv. pkg.),100.0,2024
Various countries,Overlay metrology tools,0.1,2024
Various countries,Photomask handlers,4.9,2024
Various countries,Test tools,0.3,2024
Various countries,Mask aligners,2.9,2024
Various countries,Deposition tools (adv. pkg.),0.3,2024
Various countries,Die attaching tools for IC,0.9,2024
Various countries,Die attaching tools for non-IC,0.4,2024
Various countries,Manual wire bonders,0.8,2024
Various countries,Auto ball bonders for IC,0.8,2024
Various countries,Auto ball bonders for non-IC,0.2,2024
Various countries,Wafer level stud bonders,23.6,2024
Various countries,Other deposition tools (non-IC),1.0,2024
Various countries,Lithography tools,0.0,2024
Various countries,Resist processing tools,0.2,2024
Various countries,Deposition tools,0.2,2024
Various countries,Plasma CVD tools,0.1,2024
Various countries,Physical vapor deposition tools,0.2,2024
Various countries,Rapid thermal processing tools,0.0,2024
Various countries,Tube-based diffusion and deposition tools,0.4,2024
Various countries,Chemical vapor deposition tools,0.1,2024
Various countries,Dry etching and cleaning tools,0.6,2024
Various countries,Wet etching and cleaning tools,0.7,2024
Various countries,Conductor etching tools,1.0,2024
Various countries,Insulator etching tools,0.2,2024
Various countries,Ion milling tools,100.0,2024
Various countries,Dry stripping tools,0.3,2024
Various countries,Misc. dry etch tools,0.1,2024
Various countries,Etch and clean tools,0.7,2024
Various countries,Wafer and photomask handlers,0.4,2024
Various countries,Process control tools,0.1,2024
Various countries,Photomask inspection and repair tools,0.0,2024
Various countries,Inspection tools (adv. pkg.),0.0,2024
Various countries,"Film, stack, and shape metrology tools",0.3,2024
Various countries,Critical dimensions metrology tools,0.2,2024
Various countries,Defect inspection tools,0.1,2024
Various countries,Assembly inspection tools,1.8,2024
Various countries,Dicing tools,1.1,2024
Various countries,Bonding tools,1.0,2024
Various countries,Die attaching tools,0.8,2024
Various countries,Wire bonding tools,1.3,2024
Various countries,Other interconnect tools,1.6,2024
Various countries,Packaging tools,3.8,2024
Various countries,Memory test tools,0.1,2024
Various countries,SoC test tools,0.3,2024
Various countries,Burn-in test tools,1.6,2024
Various countries,Linear and discrete testing tools,1.3,2024
Various countries,Handlers and probers,2.4,2024
Various countries,Crystal machining tools,0.2,2024
Veeco,i-line lithography tools,4.6,2024
Veeco,Single wafer spin & spray systems (adv. pkg.),11.8,2024
Veeco,Etch and clean tools (adv. pkg.),3.9,2024
Veeco,Other deposition tools (non-IC),7.8,2024
Veeco,Deposition tools,1.3,2024
Veeco,Rapid thermal processing tools,14.6,2024
Vermes,Other interconnect tools,1.5,2024
Vistec,Direct write systems,32.8,2024
Wonik,Deposition tools,1.5,2024
Wonik,Plasma CVD tools,3.9,2024
Wonik,Low-pressure CVD tools,1.9,2024
Wonik,Atomic layer deposition tools,1.4,2024
Wonik,Tube-based diffusion and deposition tools,1.9,2024
Wonik,Chemical vapor deposition tools,2.9,2024
YEST,Burn-in test tools,1.9,2024
YIKC,Test tools,1.8,2024
YIKC,Memory test tools,6.8,2024
YoungTek Electronics (YTEC),Assembly inspection tools,3.6,2024
Zeiss,Photomask inspection and repair tools,11.0,2024
CHN,"Assembly, testing, and packaging (ATP)",30.0,2022
CHN,Fabrication,24.0,2022
CHN,Design,6.0,2022
CHN,Chip design,5.0,2022
CHN,Memory chip design,3.0,2022
CHN,DAO chip design,9.0,2022
DEU,Crystal growing furnaces,100.0,2022
EUR,"Assembly, testing, and packaging (ATP)",3.0,2022
EUR,Fabrication,8.0,2022
EUR,Design,10.0,2022
EUR,Chip design,9.0,2022
EUR,DAO chip design,17.0,2022
JPN,"Assembly, testing, and packaging (ATP)",6.0,2022
JPN,Fabrication,17.0,2022
JPN,Design,9.0,2022
JPN,Chip design,4.0,2022
JPN,Memory chip design,7.0,2022
JPN,DAO chip design,18.0,2022
KOR,"Assembly, testing, and packaging (ATP)",9.0,2022
KOR,Fabrication,17.0,2022
KOR,Design,13.0,2022
KOR,Chip design,3.0,2022
KOR,Memory chip design,60.0,2022
KOR,DAO chip design,4.0,2022
PVA TePla,Crystal growing furnaces,100.0,2022
TWN,"Assembly, testing, and packaging (ATP)",28.0,2022
TWN,Fabrication,18.0,2022
TWN,Design,8.0,2022
TWN,Chip design,11.0,2022
TWN,Memory chip design,4.0,2022
TWN,DAO chip design,5.0,2022
USA,"Assembly, testing, and packaging (ATP)",3.0,2022
USA,Fabrication,10.0,2022
USA,Design,51.0,2022
USA,Chip design,65.0,2022
USA,Memory chip design,25.0,2022
USA,DAO chip design,41.0,2022
Various countries,"Assembly, testing, and packaging (ATP)",20.0,2022
Various countries,Fabrication,7.0,2022
Various countries,Design,4.0,2022
Various countries,Chip design,4.0,2022
Various countries,Memory chip design,1.0,2022
Various countries,DAO chip design,6.0,2022
CHN,Electronic design automation software,1.0,2019
CHN,Core intellectual property,2.0,2019
CHN,Wafer,4.0,2019
DEU,Wafer,14.0,2019
GBR,Core intellectual property,43.0,2019
GBR,Electronic design automation software,1.0,2019
ISR,Electronic design automation software,1.0,2019
JPN,Wafer,56.0,2019
JPN,Photomasks,53.0,2019
JPN,Electronic design automation software,3.0,2019
KOR,Wafer,10.0,2019
TWN,Core intellectual property,1.0,2019
TWN,Wafer,16.0,2019
TWN,Photomasks,7.0,2019
USA,Electronic design automation software,96.0,2019
USA,Core intellectual property,52.0,2019
USA,Photomasks,40.0,2019
Various,Core intellectual property,2.0,2019
