Year,World rank,EU rank,Company,Country,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,8.0,1,VOLKSWAGEN AG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,20998.0,-3.58602323338996,324656.0,0.735996822678135,6.46776896160859,16710.0,14.0380809390568,5.14698634862747,125.661280670257,21761.0,-3.61002834868887,6.70278694987926,27030.226878529,-21.909636751072,666502.0,1.85570917493303
2024,17.0,2,MERCEDES-BENZ GROUP AG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,9698.0,-2.82565130260521,145594.0,-4.97591666775444,6.66098877701004,4039.0,7.85046728971963,2.7741527810212,240.108937855905,13600.0,-30.3421430034829,9.34104427380249,51630.895526368,-22.9065395554857,175264.0,5.54511730982319
2024,21.0,3,BAYERISCHE MOTOREN WERKE AG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,9078.0,17.0599613152805,142380.0,-8.43612136490501,6.37589549093974,12205.0,12.1679992647735,8.57213091726366,74.3793527242933,11377.0,-38.3794616259546,7.9905885658098,47545.582600938,-21.6312717666375,158441.0,2.56740572908238
2024,28.0,4,ROBERT BOSCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,7954.0,5.15600211528292,90345.0,-1.36578016507271,8.80402899994466,5122.0,-6.85579196217494,5.66937849355249,155.29090199141,2871.0,-36.2425049966689,3.17781836294206,,,424665.0,-1.10638634797027
2024,33.0,5,SANOFI,France,FRA,Health industries,Pharmaceuticals & Biotechnology,7394.0,9.89892984542212,46112.0,7.06292082656141,16.0348716169327,3195.0,5.65476190476191,6.92878209576683,231.424100156495,8483.0,18.0325587866982,18.3965128383067,118405.121168219,4.29635872637493,84587.0,-3.87185489919767
2024,35.0,6,STELLANTIS N.V.,France,FRA,Automobiles & Parts,Automobiles & Parts,6854.0,-8.4179583110636,156878.0,-17.2339931625375,4.36900011473884,11060.0,8.50583733935053,7.05006438123892,61.9710669077758,5402.0,-75.8364644838075,3.4434401254478,36461.566650436,-45.4546473904465,259118.0,-4.4874157734102
2024,36.0,7,BAYER AG,Germany,DEU,Health industries,Pharmaceuticals & Biotechnology,6693.0,22.5599707013368,46606.0,-2.16428406490753,14.3608119126293,2778.0,0.981461286804798,5.96060593056688,240.928725701944,-278.0,-160.17316017316,-0.596489722353345,18984.362375935,-42.6587567732083,92815.0,-6.9271883116232
2024,39.0,8,SIEMENS AG,Germany,DEU,ICT producers,Electronic & Electrical Equipment,6482.0,-0.0308451573103023,78811.0,1.33986549910633,8.22474020124094,2088.0,-5.86113615870153,2.64937635609242,310.44061302682,9608.0,3.94893432868116,12.191191584931,145600.0,34.5158875793801,327000.0,2.1875
2024,43.0,9,C.B. BOEHRINGER SOHN AG & CO. KG,Germany,DEU,Health industries,Pharmaceuticals & Biotechnology,5766.0,14.2460867842283,25611.0,6.05408091432357,22.5137636171957,1043.0,2.15475024485798,4.07246886103627,552.828379674017,5516.0,15.6394129979036,21.5376205536683,,,53565.0,0.771329131784404
2024,46.0,10,SAP SE,Germany,DEU,ICT services,Software & Computer Services,5317.0,-15.3613498885705,34176.0,9.5138911141731,15.5577013108614,797.0,1.52866242038217,2.33204588014981,667.126725219573,7809.0,29.847023611573,22.8493679775281,290172.695849303,69.1976981527466,109121.0,1.41168379769893
2024,48.0,11,NOVO NORDISK A/S,Denmark,DNK,Health industries,Pharmaceuticals & Biotechnology,5098.15227010647,29.442004562013,38939.4995843278,25.0330447212402,13.0924956009408,6324.11703183244,82.7636983647214,16.2408790542797,80.6144517004496,17208.6942529969,25.1184510694724,44.1934139798832,285162.073164055,-11.3166788940883,77349.0,20.2583995397938
2024,53.0,12,TELEFONAKTIEBOLAGET LM ERICSSON AB,Sweden,SWE,ICT producers,Technology Hardware & Equipment,4469.41268871629,3.94974527593419,21631.9050527969,-5.87466916776494,20.6612070356624,204.206300724321,-29.0263876251139,0.944005163788929,2188.67521367522,389.737324373855,-122.265430252268,1.8016782314023,24209.3758204602,42.6079477089379,94236.0,-5.71874499759885
2024,54.0,13,NOKIA OYJ,Finland,FIN,ICT producers,Technology Hardware & Equipment,4377.0,2.60196905766526,20279.0,-8.89118519184114,21.5839045317816,472.0,-27.6073619631902,2.3275309433404,927.330508474576,1228.0,-9.30576070901034,6.05552542038562,23962.206700933,37.9408278137362,80361.0,-7.29965739597873
2024,57.0,14,ASML HOLDING N.V.,Netherlands,NLD,ICT producers,Technology Hardware & Equipment,3942.4,5.83908292840076,28262.9,2.55601719977503,13.949028585177,2067.2,-4.10094637223975,7.31418219644835,190.712074303406,9022.6,-0.217864923747265,31.9238294725594,271198.136016843,-1.31770565957222,44027.0,3.7980950584685
2024,64.0,15,AIRBUS SE,France,FRA,Aerospace & Defence,Aerospace & Defence,3700.0,1.81618051733627,69230.0,5.78186596583443,5.34450382782031,3669.0,20.2556538839725,5.29972555250614,100.844916871082,4957.0,8.53952266257937,7.16019066878521,122629.667487597,10.9866981306309,156921.0,6.10441332585045
2024,83.0,16,CONTINENTAL AG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,2866.0,-0.358098946563299,39719.0,-4.10786929177581,7.21569022382235,1938.0,-8.77424213895689,4.87927692036557,147.884416924665,2219.0,15.4947171186176,5.58674689695108,12948.386912161,-15.922080696404,190159.0,-6.21612424357501
2024,88.0,17,ZF FRIEDRICHSHAFEN AG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,2808.0,2.85714285714286,41377.0,-11.2595706350398,6.78637890615559,2028.0,-1.60116448326055,4.90127365444571,138.461538461538,-127.0,-107.825015403574,-0.306933803804046,,,165523.0,-0.693548677397873
2024,90.0,18,AB VOLVO,Sweden,SWE,Automobiles & Parts,Automobiles & Parts,2783.57622829217,11.4656136427173,45973.9942403351,-4.69422755461637,6.05467563627528,1212.32219216337,5.8841463414634,2.63697382008141,229.606968039158,5975.47779038311,-0.739312584259782,12.9975171596914,37233.9590415698,2.63707994959845,101595.0,-2.45038263224097
2024,95.0,19,RENAULT,France,FRA,Automobiles & Parts,Automobiles & Parts,2668.0,3.33075135553834,56232.0,7.36215060332977,4.74462939251672,1674.0,-1.47145379635079,2.97695262483995,159.378733572282,3767.0,23.629799803085,6.69903257931427,13913.733236582,27.4895022173935,98636.0,-6.50350246926453
